STATE_ABBR,Admission to Union,Land Area,Water Area,Population 1790,Population 1800,Population 1810,Population 1820,Population 1830,Population 1840,Population 1850,Population 1860,Population 1870,Population 1880,Population 1890,Population 1900,Population 1910,Population 1920,Population 1930,Population 1940,Population 1950,Population 1960,Population 1970,Population 1980,Population 1990,Population 2000,Population 2010
DE,50,5046703785.0,1399060967.0,59096,64273,72674,72749,76748,78085,91532,112216,125015,146608,168493,184735,202322,223003,238380,266505,318085,446292,548104,594338,666168,783600,897934
PA,49,116000000000.0,3397122731.0,433611,602365,810091,1049458,1348233,1724033,2311786,2906215,3521951,4282891,5258014,6302115,7665111,8720018,9631350,9900180,10498012,11319366,11793909,11863895,11881643,12281054,12702379
NJ,48,19000000000.0,3544030209.0,184139,211149,245562,277575,320823,373306,489555,672035,906096,1131116,1444933,1883669,2537167,3155900,4041334,4160165,4835329,6066782,7168164,7364823,7730188,8414350,8791894
GA,47,149000000000.0,4951196915.0,82548,162686,252433,340989,516823,691392,906185,1057286,1184109,1542180,1837353,2216331,2609121,2895832,2908506,3123723,3444578,3943116,4589575,5463105,6478216,8186453,9687653
CT,46,12541641427.0,1815734898.0,237655,251002,261942,275248,297675,309978,370792,460147,537454,622700,746258,908420,1114756,1380631,1606903,1709242,2007280,2535234,3031709,3107576,3287116,3405565,3574097
MA,45,20200000000.0,7133683836.0,475199,574564,700745,523287,610408,737699,994514,1231066,1457351,1783085,2238943,2805346,3366416,3852356,4249614,4316721,4690514,5148578,5689170,5737037,6016425,6349097,6547629
MD,44,25100000000.0,6989579585.0,319728,341548,380546,407350,447040,470019,583034,687049,780894,934943,1042390,1188044,1295346,1449661,1631526,1821244,2343001,3100689,3922399,4216975,4781468,5296486,5773552
SC,43,77900000000.0,5075831885.0,249073,345591,415115,502741,581185,594398,668507,703708,705606,995577,1151149,1340316,1515400,1683724,1738765,1899804,2117027,2382594,2590516,3121820,3486703,4012012,4625364
NH,42,23200000000.0,1026959156.0,141899,183858,214460,244161,269328,284574,317976,326073,318300,346991,376530,411588,430572,443083,465293,491524,533242,606921,737681,920610,1109252,1235786,1316470
VA,41,102000000000.0,8507698663.0,821287,880200,974600,1065379,1211405,1239797,1421661,1596318,1225163,1512565,1655980,1854184,2061612,2309187,2421851,2677773,3318680,3966949,4648494,5346818,6187358,7078515,8001024
NY,40,122000000000.0,19239924100.0,340241,589051,959049,1372812,1918608,2428921,3097394,3880735,4382759,5082871,5997853,7268894,9113614,10385228,12588066,13479142,14830192,16782304,18236967,17558072,17990455,18976457,19378102
NC,39,126000000000.0,13471186331.0,395005,478103,555500,638829,737987,753419,869039,992622,1071361,1399750,1617947,1893810,2206287,2559123,3170276,3571623,4061929,4556155,5082059,5881766,6628637,8049313,9535483
RI,38,2680000000.0,1323668539.0,69112,69122,76931,83059,97199,108830,147545,174620,217353,276531,345506,428556,542610,604397,687497,713346,791896,859488,946725,947154,1003464,1048319,1052567
VT,37,23900000000.0,1035236182.0,85341,154465,217895,235764,280652,291948,314120,315098,330551,332286,332422,343641,355956,352428,359611,359231,377747,389881,444330,511456,562758,608827,625741
KY,36,102000000000.0,2386569692.0,,220955,406511,564317,687917,779828,982405,1155684,1321011,1648690,1858635,2147174,2289905,2416630,2614589,2845627,2944806,3038156,3218706,3660777,3685296,4041769,4339367
TN,35,107000000000.0,2355218865.0,,105602,261727,422813,681904,829210,1002717,1109801,1258520,1542359,1767518,2020616,2184789,2337885,2616556,2915841,3291718,3567089,3923687,4591120,4877185,5689283,6346105
OH,34,106000000000.0,10269012119.0,,,230760,581434,937903,1519467,1980329,2339511,2665260,3198062,3672316,4157545,4767121,5759394,6646697,6907612,7946627,9706398,10652017,10797630,10847115,11353140,11536504
LA,33,112000000000.0,23761143266.0,,,,153407,215739,352411,517762,708002,726915,939946,1118587,1381625,1656388,1798509,2101593,2363880,2683516,3257022,3641306,4205900,4219973,4468976,4533372
IN,32,92789193658.0,1537004191.0,,,,147178,343031,685866,988416,1350428,1680637,1978301,2192404,2516462,2700876,2930390,3238503,3427796,3934224,4662498,5193669,5490224,5544159,6080485,6483802
MS,31,122000000000.0,3907007795.0,,,,75448,136621,375651,606526,791305,827922,1131597,1289600,1551270,1797114,1790618,2009821,2183796,2178914,2178141,2216912,2520638,2573216,2844658,2967297
IL,30,144000000000.0,6202038080.0,,,,55211,157445,476183,851470,1711951,2539891,3077871,3826351,4821550,5638591,6485280,7630654,7897241,8712176,10081158,11113976,11426518,11430602,12419293,12830632
AL,29,131000000000.0,4596557532.0,,,,127901,309527,590756,771623,964201,996992,1262505,1513017,1828697,2138093,2348174,2646248,2832961,3061743,3266740,3444165,3893888,4040587,4447100,4779736
ME,28,79882800680.0,11750312805.0,,,,298335,399455,501793,583169,628279,626915,648936,661086,694466,742371,768014,797423,847226,913774,969265,992048,1124660,1227928,1274923,1328361
MO,27,178000000000.0,2500563712.0,,,,,140455,383702,682044,1182012,1721295,2168380,2679184,3106665,3293335,3404055,3629367,3784664,3954653,4319813,4676501,4916686,5117073,5595211,5988927
AR,26,135000000000.0,2960539257.0,,,,,,97574,209897,435450,484471,802525,1128179,1311564,1574449,1752204,1854482,1949387,1909511,1786272,1923295,2286435,2350725,2673400,2915918
MI,25,146000000000.0,104000000000.0,,,,,,212267,397654,749113,1184059,1636937,2093889,2420982,2810173,3668412,4842325,5256106,6371766,7823194,8875083,9262078,9295297,9938444,9883640
FL,24,139000000000.0,31424168203.0,,,,,,,87445,140424,187748,269493,391422,528542,752619,968470,1468211,1897414,2771305,4951560,6789443,9746324,12937926,15982378,18801310
TX,23,677000000000.0,19074619314.0,,,,,,,212592,604215,818579,1591749,2235523,3048710,3896542,4663228,5824715,6414824,7711194,9579678,11196730,14229191,16986510,20851820,25145561
IA,22,145000000000.0,1076595005.0,,,,,,,192214,674913,1194020,1624615,1911896,2231853,2224771,2404021,2470939,2538268,2621073,2757537,2824376,2913808,2776755,2926324,3046355
WI,21,140000000000.0,29400000000.0,,,,,,,305391,775881,1054670,1315497,1686880,2069042,2333860,2632067,2939006,3137587,3434575,3951777,4417731,4705767,4891769,5363675,5686986
CA,20,403000000000.0,20501110720.0,,,,,,,92597,379994,560247,864694,1208130,1485053,2377549,3426861,5677251,6907387,10586224,15717204,19953134,23667902,29760021,33871648,37253956
MN,19,206000000000.0,18930454637.0,,,,,,,,172023,439706,780773,1301826,1751394,2075708,2387125,2563953,2792300,2982483,3413864,3804971,4075970,4375099,4919479,5303925
